1, 0.666667
3, 0.822222
5, 0.888889
7, 0.877778
9, 0.888889
11, 0.888889
13, 0.888889
15, 0.888889
17, 0.888889
19, 0.888889
21, 0.966667
23, 0.966667
25, 0.966667
27, 0.966667
29, 0.966667
31, 0.966667
33, 0.966667
35, 0.966667
37, 0.966667
39, 0.966667
41, 0.966667
43, 0.966667
45, 0.966667
47, 0.966667
49, 0.966667
51, 0.966667
53, 0.966667
55, 0.966667
57, 0.888889
59, 0.888889
61, 0.888889
63, 0.888889
65, 0.888889
67, 0.888889
69, 0.888889
71, 0.888889
73, 0.888889
75, 0.888889
77, 0.888889
79, 0.888889
81, 0.888889
83, 0.888889
85, 0.888889
87, 0.888889
89, 0.888889
91, 0.888889
93, 0.888889
95, 0.888889
97, 0.888889
99, 0.888889
